,,C1,C2
0,Round 1,550117.1420000045,1433739.3099999938
1,Round 2,464869.27587929845,1084488.7769648738
2,Round 3,470897.3822772998,973431.7146620394
3,Round 4,483914.40917334514,895934.5925630673
4,Round 5,489216.0710034315,865128.3352940796
5,Round 6,487629.6685499822,845846.6470313473
6,Round 7,483711.9232137478,827219.5827561237
7,Round 8,475330.7734932305,803590.3456011107
8,Round 9,474871.2388463643,756039.5172761244
9,Round 10,457232.92011507344,717332.9025432297
10,Round 11,447494.38619734696,694587.9252526843
11,Round 12,450915.0125766772,684444.5019967925
12,Round 13,451250.3670725656,674574.7475478566
13,Round 14,451974.5955397487,667409.469916026
14,Round 15,451570.3640699583,663556.6278214998
15,Round 16,452739.0113664558,660162.777228758
16,Round 17,453082.7302871829,656041.3222947085
17,Round 18,450583.67086030025,653036.7540731638
18,Round 19,450368.7493167392,651112.4262522653
19,Round 20,449011.3637255198,649689.0131843556
